,index,fn tweet
0,162,Both players are walking off -- slowly -- under their own power.   It appears both will leave the game.
1,178,"With Justin Turner out of the game, Max Muncy is playing third base, Albert Pujols stays in at first base."
2,251,"Here’s that bat speed in action in-game, as Jordan gets 92 on the outer third and smokes in to RF for an RBI single. The bat speed just kinda speaks for itself here, good piece of hitting as well. #PGNational  https://t.co/wephI2uCGG"
3,284,Matt Strahm throwing a simulated game right now is a big deal. His return after the All-Star break will be like trading for a top-flight reliever without having to give up anything.
4,318,#Mets 3B prospect Mark Vientos was lifted from tonight's game for Binghamton after getting hit on his left hand.
5,431,"LaMonte Wade Jr. took early swings today but then was scratched from lineup. Giants being careful there, trying to make sure it doesn’t linger."
6,659,Rendon to the IL for the third time this season
7,668,Jeff Hoffman allowed three runs and six hits (two homers) in 5 1/3 innings during his rehab start at Triple-A Louisville tonight. He struck out seven and walked one. #Reds
8,754,"Injury-ravaged and fielding a lineup relying increasingly on bench players, the Sox offense looked to be in dire straits.  Teeing off against the Twins solved that.  https://t.co/RzkrErfHjW"
9,990,"Kevin Cash says RHP Chris Archer's start in the FCL today was cancelled, so he threw a three-inning sim game today in Port Charlotte instead. #Rays"
10,995,"More on #Rays planning to call up Brujan for doubleheader vs. #Indians, and to keep him around for a while with Margot heading to IL. Also Xavier Edwards is going to Futures Game   https://t.co/7qSSV5Wj6h"
11,1058,Daniel Hudson threw a 21-pitch bullpen today and came out okay. Kyle Finnegan played catch after throwing a bullpen yesterday. Martinez had predicted that Finnegan could come off early/middle of this week if he kept progressing well.
12,1068,"Brandon Hyde said Matt Harvey needs a little breather. Has been grinding, taking his turn every time. Some fatigue. Will recharge a little bit over the break #orioles"
13,1155,Boone said the Yankees will make a decision tomorrow on whether Andujar should remain active or go to the IL.
14,1180,"“Most” of the 6 players who are or may be COVID positive have been vaccinated, Brian Cashman says. Not all."
15,1231,Mookie Betts is out of the #Dodgers’ starting lineup for the sixth consecutive game  https://t.co/x9KwLoJyTy
16,1537,Gabe Kapler confirmed that Buster Posey won’t play in the All-Star Game after landing on the IL.
17,1643,"Brandon Belt will see a couple doctors, including ElAttrache, in LA"
18,1891,Is Wilson Ramos one of the game's best power hitters?  The stats show that Wilson is averaging a home run every four at bats since joining our ball club.  The numbers don't lie.  https://t.co/jFVi4ZWdMw
19,1913,Just a move for him to be around the team': Steven Brault to join Pirates for next homestand but not ready to return  (Via TribLive)  https://t.co/2gXmirQJMT
20,1982,"LaMonte Wade Jr., who was clipped on the left foot at first base in the fifth inning, is out of the game. Darin Ruf is taking over at first."
21,2071,"Art Warren is out of the game, and Sean Doolittle enters for his first game since July 5."
22,2092,Update: it'll be a start in the rookie-level Florida Complex League
23,2198,He's getting an X-Ray*.
24,2293,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7
25,2334,League source confirms MLB and MLBPA have agreed to extend Trevor Bauer’s admin leave to July 27th.
26,2470,"@5drinkMax I mean, some of those plays wouldn't have been so tough if he gets a proper read on the ball off the bat. Fear is an idea.  Execution is measurable and means more. .  Injuries have been an issue as well."
27,2529,"At least two #Yankees position players have tested positive for COVID-19, sources tell ESPN."
28,2597,"@Enrique_Rojas1 There is optimism — and that optimism, as is the case with all COVID outbreaks, is cautious. All six of the Yankees’ cases have now been confirmed, which means Aaron Judge, Gio Urshela, Kyle Higashioka, Jonathan Loaisiga, Nestor Cortes Jr. and Wandy Peralta would go on COVID IL."
29,3017,"n addition, the #Rays notes say: Nick Anderson will be with @DurhamBulls on Thursday Chris Archer will go 3 IP or 50 pitches in the FCL on Thursday JP Feyereisen and Ryan Thompson are to thrown 25-pitch bullpens today."
30,3192,"From last night:  -Another comeback -Ohtani's record-tying 31st home run -The perils of an overworked bullpen -Injury updates on Rendon, Ward, Upton  And more here:  https://t.co/mhgCFTlTFA"
31,3245,"In Ricky Palmer, Trey Mancini had a source of encouragement and advice as the former teammates took on cancer together.  Mancini survived his battle. He’ll use the Home Run Derby to honor his friend who didn’t.   “Ricky has always, always believed in me.”  https://t.co/YbMvS1ljVo"
32,3250,The #orioles placed Jorge Lopez on bereavement list
33,3296,Lineup change:  https://t.co/B4X7UYkbqb
