,index,fn tweet
0,162,Both players are walking off -- slowly -- under their own power.   It appears both will leave the game.
1,178,"With Justin Turner out of the game, Max Muncy is playing third base, Albert Pujols stays in at first base."
2,251,"Here’s that bat speed in action in-game, as Jordan gets 92 on the outer third and smokes in to RF for an RBI single. The bat speed just kinda speaks for itself here, good piece of hitting as well. #PGNational  https://t.co/wephI2uCGG"
3,282,"Red Sox manager Alex Cora is ""worried"" about his team's All-Stars as MLB awaits clarity on Aaron Judge's COVID situation (via @martinonyc)  https://t.co/ylUUArl8zS  https://t.co/vxPSL1bmgc"
4,284,Matt Strahm throwing a simulated game right now is a big deal. His return after the All-Star break will be like trading for a top-flight reliever without having to give up anything.
5,1058,Daniel Hudson threw a 21-pitch bullpen today and came out okay. Kyle Finnegan played catch after throwing a bullpen yesterday. Martinez had predicted that Finnegan could come off early/middle of this week if he kept progressing well.
6,1068,"Brandon Hyde said Matt Harvey needs a little breather. Has been grinding, taking his turn every time. Some fatigue. Will recharge a little bit over the break #orioles"
7,1180,"“Most” of the 6 players who are or may be COVID positive have been vaccinated, Brian Cashman says. Not all."
8,1231,Mookie Betts is out of the #Dodgers’ starting lineup for the sixth consecutive game  https://t.co/x9KwLoJyTy
9,1891,Is Wilson Ramos one of the game's best power hitters?  The stats show that Wilson is averaging a home run every four at bats since joining our ball club.  The numbers don't lie.  https://t.co/jFVi4ZWdMw
10,1913,Just a move for him to be around the team': Steven Brault to join Pirates for next homestand but not ready to return  (Via TribLive)  https://t.co/2gXmirQJMT
11,2092,Update: it'll be a start in the rookie-level Florida Complex League
12,2198,He's getting an X-Ray*.
13,2293,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7
14,2334,League source confirms MLB and MLBPA have agreed to extend Trevor Bauer’s admin leave to July 27th.
15,2470,"@5drinkMax I mean, some of those plays wouldn't have been so tough if he gets a proper read on the ball off the bat. Fear is an idea.  Execution is measurable and means more. .  Injuries have been an issue as well."
16,3017,"n addition, the #Rays notes say: Nick Anderson will be with @DurhamBulls on Thursday Chris Archer will go 3 IP or 50 pitches in the FCL on Thursday JP Feyereisen and Ryan Thompson are to thrown 25-pitch bullpens today."
17,3245,"In Ricky Palmer, Trey Mancini had a source of encouragement and advice as the former teammates took on cancer together.  Mancini survived his battle. He’ll use the Home Run Derby to honor his friend who didn’t.   “Ricky has always, always believed in me.”  https://t.co/YbMvS1ljVo"
18,3250,The #orioles placed Jorge Lopez on bereavement list
19,3296,Lineup change:  https://t.co/B4X7UYkbqb
