,index,fp tweet
0,62,"Steven Matz said that he felt good through his live bullpen session and even warmups tonight, but when the game started:  “The sharpness just wasn’t there. It was a little frustrating.” #BlueJays"
1,82,"Earlier today, we welcomed #HOPEWeek honoree Blake Wheatley, an 11-year-old baseball fanatic and player, who was diagnosed with a bicuspid aortic valve condition – the same condition that Aaron Boone faces. Blake got a tour of Yankee Stadium and played catch with Boone today.  https://t.co/1O2z0FVgBt"
2,160,#Brewers catcher Manny Pina takes a pitch from Lauer mostly on his bare hand and is being checked. Will stay in the game but that had to smart.
3,307,@NetcoRecruiter once you're sent down you can't come back for 10 days unless it's for an injured player.
4,381,"Dave Martinez says there will be no limitations on Erick Fedde tonight. Expanding on that, Martinez said that Fedde basically just missed one start and his oblique has felt good for a bit."
5,384,Giants say Brandon Belt is starting light baseball activity today.
6,388,Carlos Martínez is OK. “We feel like he should be fine moving forward.” Just got jammed and had to get the swelling out.
7,389,A sight for sore eyes.  Franmil Reyes is getting back to it.  (via @CLBClippers)   https://t.co/x6J57bssix
8,470,"Corey Seager has started swinging again, Dave Roberts said. Expectation is for him to be back sometime shortly after the All-Star break."
9,533,Your 2021 MLB All-Star Game starters (barring injuries🤞🏽)  https://t.co/EiijMHciE4
10,634,"Boone said Luke Voit is “good to go” physically, just felt like it was a good day to give him a break."
11,877,Off-day for Miggy. On-day for Harold.  https://t.co/uEuirSM9h2
12,911,He's 3 for 18 on this trip with nine strikeouts. Nobody is against him. But the #Brewers don't want him to bury himself again and needed a LH option to allow him some time off if needed. It's providing another option at 1B if needed while Vogelbach is injured.
13,998,#RedSox taking BP.  https://t.co/iAIPvZMxVA
14,1214,"Dylan Floro on how his arm's feeling after throwing 63 pitches the last two nights: ""It's still on me, so that's good. It's hanging a little bit but we'll be all right.""  #Marlins"
15,1281,"Bob Melvin and a trainer went out to check on Pinder, who walked slowly back to the A's dugout but under his own power."
16,1283,"@rogerhuffman86 There is an injury report every Wednesday, regardless of whether the Pirates are on a winning streak or losing streak."
17,1305,Trout still has a compression sleeve over that right calf. These haven’t looked like completely full intensity swings either. But still a good sign to see him out here
18,1315,LaMonte Wade Jr. was scratched with a hand strain:  Mike Yastrzemski - RF Alex Dickerson - LF Wilmer Flores - 3B Brandon Crawford - SS Darin Ruf - 1B Steven Duggar - CF Donovan Solano - 2B Curt Casali - C Logan Webb - RHP
19,1373,"David Bell says Tejay Antone had a PRP injection earlier this week.  “After that, there’s a little bit of a period where you don’t do a whole lot. He’ll start ramping up here… He should be throwing here any day."""
20,1446,"Jimenez '200 percent' healthy, near ChiSox return  https://t.co/yhYpBzjA3D"
21,1527,"@mpicardi @ohhenryboy @appages Yeah, that reasoning is off. Braxton Garrett and Nick Neidert are the only non-injured 40-man starting pitchers with MLB experience not here. Garrett pitched tonight at Triple-A, so he could've been an option. The issue lies in losing a reliever or going with a short bench."
22,1531,"Carlos Carrasco's ""fastball velocity was similar to where it is mid-season"" in his first bullpen session throwing off the rubber, per Luis Rojas."
23,1818,"For the 2nd time this season, the Yankees, who reached the 85% vax threshold among key staff &amp; players, have multiple positives on their squad. From MLB:   (I erroneously tweeted earlier that the Yankees had a game postponed b/c of positive cases before. They didn't &amp; played on.)  https://t.co/hIsUFQNXDj"
24,1848,Arroyo said it took two days to walk normally after his collision in Tampa Bay. He started to feel better after a couple more days. #RedSox
25,1999,Brandon Marsh homered in his first at-bat back at Triple-A Salt Lake. He had been out since June 1 with right shoulder inflammation.
26,2003,Zach Plesac threw a 32-pitch bullpen session today with no restrictions/complications.
27,2047,"Yasmani Grandal was helped off the field in the sixth inning, falling to the ground in pain on a check swing  https://t.co/ps7RaasPeo"
28,2125,"Jonathan Villar hurt another baseball, this time from Austin Davis. 13-3 Mets."
29,2128,Konner Wade cleared waivers. Outrighted to Norfolk #orioles
30,2183,"Gleyber Torres’ case earlier this season was a false positive, Aaron Boone said."
31,2463,Altuve had already been told he was off today so he didn't throw or hit during BP. My guess is Baker thought switching his off day last minute from today to tomorrow would leave him ill-prepared.
32,2908,Cora said Houck is feeling good after his start Sunday. He also said they were discussing things roster-wise earlier today. (Bloom actually called Cora mid media session and Cora told him he'd call back.)  Here's the latest on Houck's status  https://t.co/Kmtp2Apcd6
33,3174,"Patrick Wisdom takes over at third for Bryant, whose hand got stepped on as he slid back in to second on a line drive in the first."
34,3233,#Dodgers plan on activating Edwin Uceta tomorrow. Bullpen game is planned.
35,3314,"@turf_burner @AstrosFuture They could do that if they recalled them first, which would guarantee them MLB pay/service time while out. Teams generally don't want to do that. The 60-day IL is a major league IL. If you're injured while in the minors, you're a minor leaguer for IL purposes."
