,P0,P1
0,3.787109375,-4.56640625
1,3.759765625,-4.54296875
2,3.783203125,-4.5625
3,3.466796875,-4.21875
4,3.814453125,-4.59375
5,3.673828125,-4.453125
6,3.56640625,-4.33203125
7,3.810546875,-4.59375
8,3.8125,-4.59375
9,3.759765625,-4.54296875
10,3.8125,-4.59375
11,3.611328125,-4.3828125
12,3.8125,-4.59375
13,3.79296875,-4.578125
14,3.623046875,-4.39453125
15,3.810546875,-4.59375
16,-2.443359375,3.025390625
17,3.712890625,-4.49609375
18,3.806640625,-4.5859375
19,3.814453125,-4.59375
20,3.51171875,-4.26953125
21,3.802734375,-4.58984375
22,3.583984375,-4.3515625
23,3.810546875,-4.59375
24,3.744140625,-4.52734375
25,3.728515625,-4.51171875
26,3.814453125,-4.59375
27,3.814453125,-4.59375
28,3.748046875,-4.53125
29,3.7265625,-4.5078125
30,3.2421875,-3.951171875
31,3.8125,-4.59375
32,3.80859375,-4.58984375
33,3.814453125,-4.59375
34,3.810546875,-4.59375
35,3.814453125,-4.59375
36,3.810546875,-4.58984375
37,3.810546875,-4.59375
38,3.80859375,-4.58984375
39,3.794921875,-4.578125
40,3.345703125,-4.08203125
41,3.8125,-4.59375
42,-2.443359375,3.025390625
43,-2.44140625,3.025390625
44,3.810546875,-4.59375
45,3.7265625,-4.51171875
46,3.80078125,-4.5859375
47,3.8046875,-4.58984375
48,3.5078125,-4.26953125
49,3.810546875,-4.59375
50,3.8125,-4.59375
51,3.802734375,-4.5859375
52,3.806640625,-4.58984375
53,3.80078125,-4.5859375
54,3.783203125,-4.56640625
55,3.693359375,-4.47265625
56,-2.44140625,3.025390625
57,3.810546875,-4.59375
58,3.8046875,-4.58984375
59,3.794921875,-4.578125
60,3.814453125,-4.59375
61,3.6015625,-4.3671875
62,-2.439453125,3.021484375
63,3.810546875,-4.59375
64,3.810546875,-4.59375
65,3.759765625,-4.54296875
66,3.806640625,-4.58984375
67,3.810546875,-4.59375
68,3.810546875,-4.59375
69,3.767578125,-4.55078125
70,3.228515625,-3.94140625
71,3.814453125,-4.59375
72,3.806640625,-4.58984375
73,3.80859375,-4.58984375
74,3.814453125,-4.59375
75,2.142578125,-2.66015625
76,-2.443359375,3.025390625
77,3.8125,-4.59375
78,3.8125,-4.59375
79,3.8125,-4.59375
80,3.80859375,-4.59375
81,3.810546875,-4.59375
82,-2.44140625,3.025390625
83,3.814453125,-4.59375
84,3.806640625,-4.58984375
85,-2.44140625,3.025390625
86,3.58984375,-4.35546875
87,3.5625,-4.328125
88,3.806640625,-4.58984375
89,3.80859375,-4.58984375
90,3.771484375,-4.5546875
91,3.810546875,-4.59375
92,3.80859375,-4.58984375
93,3.810546875,-4.59375
94,3.806640625,-4.58984375
95,3.755859375,-4.54296875
96,3.806640625,-4.58984375
97,3.794921875,-4.578125
98,3.5625,-4.31640625
99,3.80859375,-4.58984375
100,3.8046875,-4.58984375
101,3.8125,-4.59375
102,3.810546875,-4.59375
103,3.798828125,-4.58203125
104,3.767578125,-4.55078125
105,3.806640625,-4.58984375
106,3.80078125,-4.58203125
107,3.73828125,-4.51953125
108,3.15625,-3.85546875
109,3.806640625,-4.58984375
110,3.419921875,-4.16796875
111,3.810546875,-4.59375
112,-2.4375,3.021484375
113,3.783203125,-4.56640625
