,index,fp tweet
0,62,"Steven Matz said that he felt good through his live bullpen session and even warmups tonight, but when the game started:  “The sharpness just wasn’t there. It was a little frustrating.” #BlueJays"
1,82,"Earlier today, we welcomed #HOPEWeek honoree Blake Wheatley, an 11-year-old baseball fanatic and player, who was diagnosed with a bicuspid aortic valve condition – the same condition that Aaron Boone faces. Blake got a tour of Yankee Stadium and played catch with Boone today.  https://t.co/1O2z0FVgBt"
2,160,#Brewers catcher Manny Pina takes a pitch from Lauer mostly on his bare hand and is being checked. Will stay in the game but that had to smart.
3,381,"Dave Martinez says there will be no limitations on Erick Fedde tonight. Expanding on that, Martinez said that Fedde basically just missed one start and his oblique has felt good for a bit."
4,388,Carlos Martínez is OK. “We feel like he should be fine moving forward.” Just got jammed and had to get the swelling out.
5,470,"Corey Seager has started swinging again, Dave Roberts said. Expectation is for him to be back sometime shortly after the All-Star break."
6,501,"Gregory Santos, a hard-throwing Giants righty who debuted earlier this year, has been suspended 80 games without pay after testing positive for Stanozolol, MLB announced. Santos is on the Sacramento roster."
7,533,Your 2021 MLB All-Star Game starters (barring injuries🤞🏽)  https://t.co/EiijMHciE4
8,634,"Boone said Luke Voit is “good to go” physically, just felt like it was a good day to give him a break."
9,911,He's 3 for 18 on this trip with nine strikeouts. Nobody is against him. But the #Brewers don't want him to bury himself again and needed a LH option to allow him some time off if needed. It's providing another option at 1B if needed while Vogelbach is injured.
10,1214,"Dylan Floro on how his arm's feeling after throwing 63 pitches the last two nights: ""It's still on me, so that's good. It's hanging a little bit but we'll be all right.""  #Marlins"
11,1281,"Bob Melvin and a trainer went out to check on Pinder, who walked slowly back to the A's dugout but under his own power."
12,1283,"@rogerhuffman86 There is an injury report every Wednesday, regardless of whether the Pirates are on a winning streak or losing streak."
13,1305,Trout still has a compression sleeve over that right calf. These haven’t looked like completely full intensity swings either. But still a good sign to see him out here
14,1315,LaMonte Wade Jr. was scratched with a hand strain:  Mike Yastrzemski - RF Alex Dickerson - LF Wilmer Flores - 3B Brandon Crawford - SS Darin Ruf - 1B Steven Duggar - CF Donovan Solano - 2B Curt Casali - C Logan Webb - RHP
15,1325,"Buster Posey has been scratched, though no reason has been given:   Austin Slater - LF Darin Ruf - 1B Mike Yastrzemski  - RF Wilmer Flores - 3B Brandon Crawford - SS Donovan Solano - 2B Curt Casali - C Mauricio Dubon -CF Johnny Cueto - RHP"
16,1373,"David Bell says Tejay Antone had a PRP injection earlier this week.  “After that, there’s a little bit of a period where you don’t do a whole lot. He’ll start ramping up here… He should be throwing here any day."""
17,1527,"@mpicardi @ohhenryboy @appages Yeah, that reasoning is off. Braxton Garrett and Nick Neidert are the only non-injured 40-man starting pitchers with MLB experience not here. Garrett pitched tonight at Triple-A, so he could've been an option. The issue lies in losing a reliever or going with a short bench."
18,1648,"Mitch Moreland removed from game due to ""non-baseball-related issue"" #Athletics :   https://t.co/SvwQvHNfd7"
19,1848,Arroyo said it took two days to walk normally after his collision in Tampa Bay. He started to feel better after a couple more days. #RedSox
20,1999,Brandon Marsh homered in his first at-bat back at Triple-A Salt Lake. He had been out since June 1 with right shoulder inflammation.
21,2047,"Yasmani Grandal was helped off the field in the sixth inning, falling to the ground in pain on a check swing  https://t.co/ps7RaasPeo"
22,2125,"Jonathan Villar hurt another baseball, this time from Austin Davis. 13-3 Mets."
23,2183,"Gleyber Torres’ case earlier this season was a false positive, Aaron Boone said."
24,2264,"@lifewithmikey52 For whatever reason they're not here, they're not here. They were big parts of last year's team that got within a game of the World Series. Sorry, but fan anger over them not being back doesn't change fact they're not here, and are reasons, like injuries, why team isn't great."
25,2308,Today Jarren Duran becomes a major leaguer and I get a colonoscopy. Save your ticket stubs!
26,2400,Brian Cashman: All positives and expected positives all within the player ranks.
27,2426,"Sale will throw another live BP on Wednesday.   Cora: ""You start thinking ahead of when he's going to contribute."""
28,3113,Arrieta said he “performed poorly.” Added: “Everything that can go wrong has gone wrong for us lately. It’s been tough.”
29,3174,"Patrick Wisdom takes over at third for Bryant, whose hand got stepped on as he slid back in to second on a line drive in the first."
30,3314,"@turf_burner @AstrosFuture They could do that if they recalled them first, which would guarantee them MLB pay/service time while out. Teams generally don't want to do that. The 60-day IL is a major league IL. If you're injured while in the minors, you're a minor leaguer for IL purposes."
