,P0,P1
0,4.2890625,-5.57421875
1,3.4453125,-5.14453125
2,3.53515625,-5.21484375
3,3.107421875,-4.86328125
4,4.53125,-5.66015625
5,3.9453125,-5.45703125
6,3.462890625,-5.15625
7,4.5,-5.640625
8,4.13671875,-5.54296875
9,3.25390625,-5.0
10,4.4921875,-5.640625
11,3.46484375,-5.1640625
12,4.46875,-5.640625
13,4.37890625,-5.609375
14,3.859375,-5.4140625
15,4.515625,-5.65234375
16,-3.48828125,3.322265625
17,3.619140625,-5.27734375
18,4.28515625,-5.57421875
19,4.3984375,-5.61328125
20,3.001953125,-4.7578125
21,4.18359375,-5.54296875
22,3.826171875,-5.3984375
23,4.4453125,-5.6328125
24,3.6953125,-5.32421875
25,3.1484375,-4.90625
26,4.42578125,-5.625
27,4.4765625,-5.640625
28,3.658203125,-5.30078125
29,3.830078125,-5.40625
30,2.033203125,-2.177734375
31,4.3515625,-5.59765625
32,4.515625,-5.6484375
33,4.44921875,-5.63671875
34,4.4140625,-5.6171875
35,4.5,-5.64453125
36,4.49609375,-5.64453125
37,4.48046875,-5.64453125
38,4.44921875,-5.62890625
39,4.4765625,-5.64453125
40,3.390625,-5.1015625
41,4.4765625,-5.6484375
42,-3.48828125,3.322265625
43,-3.46484375,3.23828125
44,4.34375,-5.59765625
45,3.912109375,-5.45703125
46,2.71875,-4.4375
47,4.484375,-5.64453125
48,3.1328125,-4.88671875
49,4.2890625,-5.578125
50,4.3046875,-5.58203125
51,4.09375,-5.5234375
52,4.50390625,-5.64453125
53,4.3046875,-5.58203125
54,3.798828125,-5.38671875
55,3.673828125,-5.3125
56,-3.48828125,3.326171875
57,4.26953125,-5.5703125
58,4.0,-5.4765625
59,4.21484375,-5.55078125
60,4.46875,-5.6328125
61,3.6171875,-5.26953125
62,-2.666015625,1.4345703125
63,4.33984375,-5.59375
64,4.49609375,-5.6484375
65,4.4765625,-5.640625
66,4.17578125,-5.55078125
67,4.4921875,-5.64453125
68,4.4609375,-5.63671875
69,3.41015625,-5.1171875
70,2.955078125,-4.71484375
71,4.4453125,-5.6328125
72,4.37890625,-5.609375
73,4.36328125,-5.609375
74,4.46875,-5.640625
75,2.798828125,-4.53515625
76,-3.259765625,2.51171875
77,4.515625,-5.66015625
78,4.36328125,-5.6015625
79,4.48828125,-5.65234375
80,4.48828125,-5.64453125
81,4.390625,-5.62109375
82,-3.296875,2.642578125
83,4.42578125,-5.6171875
84,4.45703125,-5.6328125
85,-3.4765625,3.279296875
86,3.7265625,-5.3515625
